LoanID,PropertyType,PropertyValue,LTV,LTV_Band,PropertyState,AppraisalDate,AppraiserID,ZestimateValue
LN-01189,Townhouse,793000.0,0.67,Low (<70%),MD,2024-01-21,AP-26,817000.0
LN-01190,Single Family,151000.0,0.9,High (>85%),CA,2023-06-03,AP-50,154000.0
LN-01191,Townhouse,202000.0,0.92,High (>85%),NC,2024-03-14,AP-83,209000.0
LN-01192,Single Family,739000.0,0.7,Low (<70%),TX,2018-09-29,AP-88,728000.0
LN-01193,Single Family,433000.0,0.7,Low (<70%),AZ,2019-09-16,AP-37,447000.0
LN-01194,Condo,702000.0,0.94,High (>85%),AZ,2021-04-14,AP-52,714000.0
LN-01195,Townhouse,234000.0,0.94,High (>85%),GA,2020-07-11,AP-74,238000.0
LN-01196,Townhouse,971000.0,0.75,Medium (70-85%),OH,2020-08-04,AP-59,950000.0
LN-01197,Townhouse,500000.0,0.73,Medium (70-85%),NJ,2021-11-26,AP-24,522000.0
LN-01198,Condo,880000.0,0.66,Low (<70%),IL,2018-06-16,AP-23,854000.0
LN-01199,Single Family,979000.0,0.89,High (>85%),NY,2018-01-09,AP-44,956000.0
LN-01200,Condo,303000.0,0.96,High (>85%),PA,2023-12-16,AP-62,315000.0
LN-01201,Townhouse,995000.0,0.56,Low (<70%),FL,2022-04-15,AP-10,1033000.0
LN-01202,Single Family,943000.0,0.87,High (>85%),OH,2019-12-10,AP-67,935000.0
LN-01203,Condo,1130000.0,0.6,Low (<70%),IL,2018-01-07,AP-67,1138000.0
LN-01204,Single Family,403000.0,0.58,Low (<70%),OH,2022-09-07,AP-13,404000.0
LN-01205,Multi-Family,1264000.0,0.55,Low (<70%),AZ,2019-01-14,AP-70,1249000.0
LN-01206,Condo,1067000.0,0.57,Low (<70%),NC,2020-09-07,AP-45,1063000.0
LN-01207,Multi-Family,1246000.0,0.7,Low (<70%),MD,2019-01-04,AP-18,1231000.0
LN-01208,Condo,539000.0,0.88,High (>85%),CA,2022-10-09,AP-92,529000.0
LN-01209,Multi-Family,173000.0,0.73,Medium (70-85%),NY,2023-11-13,AP-87,180000.0
LN-01210,Single Family,891000.0,0.56,Low (<70%),NC,2019-06-05,AP-90,913000.0
LN-01211,Multi-Family,275000.0,0.73,Medium (70-85%),AZ,2020-04-16,AP-14,273000.0
LN-01212,Multi-Family,1205000.0,0.74,Medium (70-85%),GA,2020-12-26,AP-25,1194000.0
LN-01213,Condo,1303000.0,0.64,Low (<70%),NY,2019-08-08,AP-15,1293000.0
LN-01214,Single Family,239000.0,0.85,Medium (70-85%),NJ,2021-03-06,AP-75,235000.0
LN-01215,Townhouse,627000.0,0.78,Medium (70-85%),NJ,2020-11-09,AP-65,657000.0
LN-01216,Townhouse,1038000.0,0.85,Medium (70-85%),AZ,2019-06-09,AP-71,1075000.0
LN-01217,Condo,262000.0,0.66,Low (<70%),NY,2020-11-27,AP-29,264000.0
LN-01218,Single Family,456000.0,0.81,Medium (70-85%),GA,2023-04-20,AP-49,454000.0
LN-01219,Multi-Family,1170000.0,0.73,Medium (70-85%),FL,2022-02-08,AP-31,1137000.0
LN-01220,Condo,788000.0,0.66,Low (<70%),MI,2018-10-23,AP-49,786000.0
LN-01221,Condo,876000.0,0.85,Medium (70-85%),MD,2018-10-28,AP-53,871000.0
LN-01222,Condo,733000.0,0.64,Low (<70%),FL,2019-01-01,AP-46,751000.0
LN-01223,Townhouse,354000.0,0.56,Low (<70%),MA,2022-07-23,AP-19,368000.0
LN-01224,Condo,723000.0,0.9,High (>85%),AZ,2018-03-01,AP-98,714000.0
LN-01225,Townhouse,685000.0,0.91,High (>85%),OH,2019-07-19,AP-80,712000.0
LN-01226,Multi-Family,136000.0,0.66,Low (<70%),NY,2022-07-08,AP-53,135000.0
LN-01227,Multi-Family,920000.0,0.71,Medium (70-85%),NV,2022-06-28,AP-53,908000.0
LN-01228,Townhouse,320000.0,0.65,Low (<70%),GA,2018-02-20,AP-76,314000.0
LN-01229,Townhouse,1045000.0,0.73,Medium (70-85%),OH,2022-11-07,AP-92,1061000.0
LN-01230,Condo,309000.0,0.86,High (>85%),NV,2020-10-21,AP-35,320000.0
LN-01231,Multi-Family,152000.0,0.83,Medium (70-85%),NV,2024-03-08,AP-21,153000.0
LN-01232,Townhouse,634000.0,0.97,High (>85%),NJ,2022-01-18,AP-71,665000.0
LN-01233,Condo,186000.0,0.91,High (>85%),MA,2021-08-27,AP-34,187000.0
LN-01234,Multi-Family,403000.0,0.63,Low (<70%),CA,2021-05-14,AP-12,413000.0
LN-01235,Townhouse,263000.0,0.57,Low (<70%),NV,2018-04-30,AP-41,270000.0
LN-01236,Condo,1005000.0,0.85,Medium (70-85%),PA,2021-10-02,AP-33,1014000.0
LN-01237,Multi-Family,580000.0,0.69,Low (<70%),CA,2019-05-07,AP-26,596000.0
LN-01238,Condo,573000.0,0.86,High (>85%),CA,2019-08-01,AP-64,577000.0
LN-01239,Condo,131000.0,0.85,Medium (70-85%),NC,2022-12-21,AP-98,128000.0
LN-01240,Single Family,1216000.0,0.61,Low (<70%),GA,2019-08-10,AP-54,1237000.0
LN-01241,Single Family,417000.0,0.9,High (>85%),GA,2022-08-30,AP-93,412000.0
LN-01242,Single Family,664000.0,0.87,High (>85%),MD,2024-03-15,AP-20,682000.0
LN-01243,Single Family,1323000.0,0.6,Low (<70%),MI,2018-09-27,AP-34,1328000.0
LN-01244,Condo,337000.0,0.63,Low (<70%),GA,2021-12-29,AP-76,330000.0
LN-01245,Multi-Family,532000.0,0.88,High (>85%),OH,2022-10-19,AP-77,528000.0
LN-01246,Multi-Family,478000.0,0.79,Medium (70-85%),MI,2022-06-12,AP-90,470000.0
LN-01247,Single Family,658000.0,0.9,High (>85%),NV,2018-09-18,AP-84,649000.0
LN-01248,Condo,751000.0,0.81,Medium (70-85%),MA,2020-07-20,AP-83,753000.0
LN-01249,Condo,300000.0,0.7,Low (<70%),FL,2018-09-15,AP-39,297000.0
LN-01250,Townhouse,483000.0,0.96,High (>85%),CA,2023-01-16,AP-61,488000.0
LN-01251,Multi-Family,1194000.0,0.7,Low (<70%),NV,2020-02-13,AP-11,1243000.0
LN-01252,Townhouse,499000.0,0.96,High (>85%),NV,2023-02-13,AP-16,488000.0
LN-01253,Condo,802000.0,0.58,Low (<70%),CA,2021-05-24,AP-89,782000.0
LN-01254,Condo,1547000.0,0.57,Low (<70%),FL,2020-03-04,AP-88,1573000.0
LN-01255,Condo,191000.0,0.78,Medium (70-85%),MD,2022-04-21,AP-86,191000.0
LN-01256,Condo,731000.0,0.86,High (>85%),TX,2018-06-09,AP-24,720000.0
LN-01257,Townhouse,501000.0,0.73,Medium (70-85%),FL,2023-02-14,AP-43,521000.0
LN-01258,Single Family,1137000.0,0.57,Low (<70%),IL,2018-01-03,AP-14,1117000.0
LN-01259,Condo,437000.0,0.79,Medium (70-85%),NC,2021-05-09,AP-93,434000.0
LN-01260,Townhouse,288000.0,0.6,Low (<70%),NC,2022-04-26,AP-24,295000.0
LN-01261,Condo,888000.0,0.68,Low (<70%),FL,2018-04-21,AP-33,900000.0
LN-01262,Single Family,637000.0,0.9,High (>85%),MI,2020-03-22,AP-56,650000.0
LN-01263,Townhouse,916000.0,0.89,High (>85%),GA,2019-04-15,AP-58,915000.0
LN-01264,Condo,914000.0,0.83,Medium (70-85%),NJ,2021-07-18,AP-41,942000.0
LN-01265,Condo,599000.0,0.89,High (>85%),NJ,2022-10-05,AP-44,614000.0
LN-01266,Multi-Family,1147000.0,0.74,Medium (70-85%),GA,2018-12-07,AP-59,1128000.0
LN-01267,Townhouse,463000.0,0.9,High (>85%),NV,2023-12-31,AP-23,468000.0
LN-01268,Condo,849000.0,0.74,Medium (70-85%),MA,2020-04-07,AP-25,854000.0
LN-01269,Condo,1261000.0,0.62,Low (<70%),IL,2021-10-11,AP-50,1278000.0
LN-01270,Condo,645000.0,0.6,Low (<70%),FL,2021-01-18,AP-65,671000.0
LN-01271,Condo,138000.0,0.6,Low (<70%),OH,2018-03-10,AP-80,140000.0
LN-01272,Townhouse,657000.0,0.77,Medium (70-85%),FL,2021-05-11,AP-95,638000.0
LN-01273,Condo,331000.0,0.72,Medium (70-85%),PA,2018-05-06,AP-93,343000.0
LN-01274,Multi-Family,274000.0,0.81,Medium (70-85%),NY,2023-08-13,AP-63,285000.0
LN-01275,Condo,738000.0,0.81,Medium (70-85%),NJ,2020-10-16,AP-14,766000.0
LN-01276,Condo,146000.0,0.69,Low (<70%),AZ,2019-07-09,AP-67,153000.0
LN-01277,Condo,961000.0,0.71,Medium (70-85%),MA,2021-11-23,AP-42,941000.0
LN-01278,Single Family,335000.0,0.84,Medium (70-85%),MD,2022-02-17,AP-87,339000.0
LN-01279,Single Family,691000.0,0.86,High (>85%),NJ,2018-12-13,AP-57,705000.0
LN-01280,Multi-Family,947000.0,0.86,High (>85%),MI,2023-06-06,AP-65,962000.0
LN-01281,Condo,132000.0,0.74,Medium (70-85%),MA,2018-08-19,AP-47,133000.0
LN-01282,Condo,703000.0,0.64,Low (<70%),GA,2021-03-18,AP-65,706000.0
LN-01283,Condo,1347000.0,0.58,Low (<70%),FL,2021-08-09,AP-71,1348000.0
LN-01284,Multi-Family,228000.0,0.92,High (>85%),OH,2019-02-20,AP-90,234000.0
LN-01285,Single Family,819000.0,0.86,High (>85%),MD,2021-12-12,AP-44,841000.0
LN-01286,Single Family,195000.0,0.76,Medium (70-85%),MD,2019-04-04,AP-81,196000.0
LN-01287,Multi-Family,858000.0,0.62,Low (<70%),NY,2023-05-22,AP-25,833000.0
LN-01288,Townhouse,881000.0,0.73,Medium (70-85%),IL,2020-12-11,AP-90,902000.0
LN-01289,Multi-Family,881000.0,0.83,Medium (70-85%),PA,2023-05-21,AP-15,920000.0
LN-01290,Single Family,1208000.0,0.62,Low (<70%),MA,2022-03-16,AP-66,1192000.0
LN-01291,Multi-Family,870000.0,0.93,High (>85%),OH,2020-08-12,AP-60,867000.0
LN-01292,Single Family,135000.0,0.78,Medium (70-85%),NJ,2021-07-12,AP-90,134000.0
LN-01293,Condo,1105000.0,0.56,Low (<70%),IL,2021-04-29,AP-63,1101000.0
LN-01294,Condo,268000.0,0.95,High (>85%),CA,2021-05-14,AP-47,275000.0
LN-01295,Condo,563000.0,0.91,High (>85%),NY,2020-11-15,AP-70,591000.0
LN-01296,Multi-Family,520000.0,0.84,Medium (70-85%),NV,2020-02-19,AP-45,535000.0
LN-01297,Multi-Family,675000.0,0.63,Low (<70%),MI,2019-09-08,AP-76,687000.0
LN-01298,Townhouse,148000.0,0.64,Low (<70%),MI,2024-04-17,AP-40,149000.0
LN-01299,Single Family,594000.0,0.69,Low (<70%),MA,2023-10-06,AP-88,612000.0
LN-01300,Condo,769000.0,0.96,High (>85%),OH,2020-11-21,AP-94,793000.0
LN-01301,Townhouse,488000.0,0.69,Low (<70%),GA,2022-03-03,AP-42,490000.0
LN-01302,Single Family,1489000.0,0.57,Low (<70%),NV,2020-04-25,AP-14,1511000.0
LN-01303,Single Family,854000.0,0.92,High (>85%),NC,2020-05-08,AP-20,857000.0
LN-01304,Condo,585000.0,0.89,High (>85%),NJ,2018-05-26,AP-76,591000.0
LN-01305,Single Family,241000.0,0.59,Low (<70%),NY,2022-02-08,AP-27,240000.0
LN-01306,Multi-Family,329000.0,0.56,Low (<70%),NC,2022-06-12,AP-91,333000.0
LN-01307,Multi-Family,704000.0,0.67,Low (<70%),IL,2021-01-09,AP-89,715000.0
LN-01308,Multi-Family,557000.0,0.58,Low (<70%),OH,2024-01-31,AP-42,540000.0
LN-01309,Multi-Family,153000.0,0.93,High (>85%),AZ,2020-03-22,AP-55,149000.0
LN-01310,Multi-Family,175000.0,0.95,High (>85%),AZ,2023-10-16,AP-98,172000.0
LN-01311,Single Family,663000.0,0.93,High (>85%),NJ,2019-01-24,AP-76,682000.0
LN-01312,Single Family,870000.0,0.91,High (>85%),TX,2022-04-14,AP-51,870000.0
LN-01313,Townhouse,925000.0,0.93,High (>85%),MI,2018-11-30,AP-94,918000.0
LN-01314,Condo,1452000.0,0.56,Low (<70%),MA,2018-02-19,AP-94,1522000.0
LN-01315,Townhouse,759000.0,0.7,Low (<70%),MD,2020-03-10,AP-79,787000.0
LN-01316,Townhouse,428000.0,0.71,Medium (70-85%),MI,2022-02-20,AP-45,422000.0
LN-01317,Townhouse,308000.0,0.73,Medium (70-85%),NJ,2023-06-03,AP-15,302000.0
LN-01318,Townhouse,962000.0,0.9,High (>85%),NV,2018-06-03,AP-34,1000000.0
LN-01319,Single Family,494000.0,0.62,Low (<70%),MA,2022-04-24,AP-47,499000.0
LN-01320,Multi-Family,297000.0,0.74,Medium (70-85%),NJ,2020-12-28,AP-50,308000.0
LN-01321,Single Family,736000.0,0.67,Low (<70%),FL,2023-03-03,AP-63,736000.0
LN-01322,Multi-Family,289000.0,0.75,Medium (70-85%),OH,2022-11-29,AP-73,287000.0
LN-01323,Single Family,154000.0,0.63,Low (<70%),IL,2018-10-09,AP-35,151000.0
LN-01324,Townhouse,607000.0,0.92,High (>85%),NY,2020-09-10,AP-71,594000.0
LN-01325,Single Family,1037000.0,0.86,High (>85%),MI,2023-10-14,AP-29,1059000.0
LN-01326,Condo,1155000.0,0.64,Low (<70%),NJ,2023-04-26,AP-15,1177000.0
LN-01327,Condo,543000.0,0.84,Medium (70-85%),NC,2021-04-13,AP-12,537000.0
LN-01328,Condo,891000.0,0.76,Medium (70-85%),MA,2022-06-13,AP-84,904000.0
LN-01329,Condo,609000.0,0.91,High (>85%),CA,2022-08-27,AP-79,635000.0
LN-01330,Single Family,958000.0,0.91,High (>85%),NC,2023-11-20,AP-69,969000.0
LN-01331,Condo,1354000.0,0.61,Low (<70%),FL,2021-06-26,AP-96,1337000.0
LN-01332,Single Family,631000.0,0.88,High (>85%),MD,2019-04-03,AP-85,652000.0
LN-01333,Condo,1535000.0,0.57,Low (<70%),CA,2019-07-24,AP-54,1561000.0
LN-01334,Condo,1059000.0,0.59,Low (<70%),NC,2021-02-10,AP-99,1108000.0
LN-01335,Multi-Family,452000.0,0.69,Low (<70%),CA,2018-05-21,AP-91,442000.0
LN-01336,Single Family,114000.0,0.71,Medium (70-85%),FL,2021-10-02,AP-88,115000.0
LN-01337,Condo,1135000.0,0.6,Low (<70%),NY,2018-09-01,AP-97,1133000.0
LN-01338,Condo,723000.0,0.88,High (>85%),IL,2022-05-23,AP-42,744000.0
LN-01339,Multi-Family,288000.0,0.77,Medium (70-85%),MI,2021-06-27,AP-17,296000.0
LN-01340,Single Family,658000.0,0.64,Low (<70%),GA,2021-03-20,AP-55,657000.0
LN-01341,Single Family,1209000.0,0.66,Low (<70%),NJ,2019-05-06,AP-90,1248000.0
LN-01342,Multi-Family,454000.0,0.95,High (>85%),MA,2022-06-16,AP-58,471000.0
LN-01343,Townhouse,295000.0,0.66,Low (<70%),IL,2020-08-12,AP-60,295000.0
LN-01344,Condo,725000.0,0.75,Medium (70-85%),FL,2022-03-11,AP-95,718000.0
LN-01345,Single Family,189000.0,0.66,Low (<70%),NV,2019-01-05,AP-65,186000.0
LN-01346,Multi-Family,818000.0,0.79,Medium (70-85%),MA,2019-03-25,AP-38,818000.0
LN-01347,Multi-Family,569000.0,0.95,High (>85%),TX,2019-04-26,AP-99,555000.0
LN-01348,Single Family,1247000.0,0.68,Low (<70%),MA,2020-01-14,AP-22,1215000.0
LN-01349,Condo,816000.0,0.62,Low (<70%),TX,2019-01-05,AP-91,807000.0
LN-01350,Townhouse,534000.0,0.61,Low (<70%),FL,2019-11-02,AP-85,550000.0
LN-01351,Condo,844000.0,0.93,High (>85%),NY,2022-10-07,AP-67,860000.0
LN-01352,Townhouse,872000.0,0.71,Medium (70-85%),TX,2024-01-01,AP-87,897000.0
LN-01353,Single Family,1019000.0,0.85,Medium (70-85%),OH,2020-12-31,AP-79,1049000.0
LN-01354,Townhouse,239000.0,0.84,Medium (70-85%),IL,2019-02-20,AP-49,233000.0
LN-01355,Townhouse,1039000.0,0.59,Low (<70%),CA,2022-11-24,AP-40,1082000.0
LN-01356,Multi-Family,470000.0,0.97,High (>85%),PA,2019-07-28,AP-61,472000.0
LN-01357,Townhouse,162000.0,0.81,Medium (70-85%),MA,2021-11-08,AP-76,160000.0
LN-01358,Multi-Family,928000.0,0.76,Medium (70-85%),TX,2022-03-15,AP-45,947000.0
LN-01359,Multi-Family,238000.0,0.96,High (>85%),NY,2023-07-13,AP-41,239000.0
LN-01360,Condo,897000.0,0.62,Low (<70%),NY,2022-06-07,AP-54,918000.0
LN-01361,Single Family,1026000.0,0.61,Low (<70%),NY,2023-04-02,AP-84,1059000.0
LN-01362,Multi-Family,1042000.0,0.77,Medium (70-85%),MI,2022-02-02,AP-43,1077000.0
LN-01363,Condo,242000.0,0.72,Medium (70-85%),IL,2018-08-07,AP-91,251000.0
LN-01364,Multi-Family,434000.0,0.79,Medium (70-85%),CA,2022-01-29,AP-35,431000.0
LN-01365,Townhouse,1118000.0,0.57,Low (<70%),NC,2019-09-24,AP-38,1096000.0
LN-01366,Multi-Family,1008000.0,0.86,High (>85%),PA,2018-04-08,AP-85,1051000.0
LN-01367,Condo,1409000.0,0.56,Low (<70%),IL,2023-10-12,AP-95,1462000.0
LN-01368,Townhouse,531000.0,0.7,Low (<70%),AZ,2019-06-01,AP-83,529000.0
LN-01369,Multi-Family,710000.0,0.77,Medium (70-85%),OH,2023-08-07,AP-10,695000.0
LN-01370,Condo,539000.0,0.97,High (>85%),MA,2021-01-29,AP-83,563000.0
LN-01371,Townhouse,1347000.0,0.59,Low (<70%),MD,2018-09-30,AP-34,1335000.0
LN-01372,Townhouse,875000.0,0.56,Low (<70%),MI,2018-07-15,AP-56,866000.0
LN-01373,Multi-Family,1153000.0,0.77,Medium (70-85%),CA,2018-03-01,AP-88,1181000.0
LN-01374,Condo,202000.0,0.64,Low (<70%),FL,2021-07-18,AP-70,207000.0
LN-01375,Townhouse,1045000.0,0.82,Medium (70-85%),TX,2018-04-20,AP-11,1023000.0
LN-01376,Single Family,1027000.0,0.82,Medium (70-85%),MD,2023-04-10,AP-15,1063000.0
LN-01377,Single Family,513000.0,0.95,High (>85%),NV,2021-09-24,AP-52,515000.0
LN-01378,Multi-Family,156000.0,0.8,Medium (70-85%),MA,2019-12-28,AP-62,155000.0
LN-01379,Townhouse,146000.0,0.84,Medium (70-85%),AZ,2019-04-25,AP-59,143000.0
LN-01380,Single Family,260000.0,0.68,Low (<70%),IL,2021-12-01,AP-33,266000.0
LN-01381,Condo,174000.0,0.89,High (>85%),TX,2022-06-24,AP-45,178000.0
LN-01382,Condo,475000.0,0.6,Low (<70%),TX,2018-06-27,AP-22,469000.0
LN-01383,Townhouse,897000.0,0.64,Low (<70%),TX,2021-01-23,AP-61,876000.0
LN-01384,Multi-Family,149000.0,0.96,High (>85%),IL,2020-02-19,AP-91,151000.0
LN-01385,Condo,410000.0,0.8,Medium (70-85%),NJ,2024-01-06,AP-79,427000.0
LN-01386,Multi-Family,771000.0,0.68,Low (<70%),TX,2021-10-04,AP-25,801000.0
LN-01387,Townhouse,291000.0,0.66,Low (<70%),NC,2020-06-29,AP-57,297000.0
LN-01388,Townhouse,816000.0,0.89,High (>85%),IL,2020-05-31,AP-81,847000.0
LN-01389,Townhouse,132000.0,0.82,Medium (70-85%),NV,2022-02-13,AP-13,131000.0
LN-01390,Single Family,470000.0,0.84,Medium (70-85%),NC,2022-02-27,AP-16,460000.0
LN-01391,Single Family,722000.0,0.86,High (>85%),TX,2021-03-08,AP-41,729000.0
LN-01392,Townhouse,451000.0,0.79,Medium (70-85%),MD,2020-10-25,AP-31,473000.0
LN-01393,Townhouse,1246000.0,0.61,Low (<70%),NC,2022-07-25,AP-40,1215000.0
LN-01394,Townhouse,1148000.0,0.75,Medium (70-85%),FL,2021-01-03,AP-55,1156000.0
LN-01395,Condo,733000.0,0.97,High (>85%),NJ,2022-01-20,AP-51,749000.0
LN-01396,Multi-Family,667000.0,0.96,High (>85%),MI,2020-08-27,AP-86,660000.0
LN-01397,Townhouse,1045000.0,0.56,Low (<70%),MI,2020-09-17,AP-89,1071000.0
LN-01398,Condo,399000.0,0.86,High (>85%),AZ,2019-10-09,AP-90,401000.0
LN-01399,Condo,1063000.0,0.82,Medium (70-85%),IL,2024-02-09,AP-93,1073000.0
LN-01400,Multi-Family,637000.0,0.91,High (>85%),AZ,2018-08-16,AP-31,641000.0
LN-01401,Condo,824000.0,0.59,Low (<70%),OH,2019-11-13,AP-58,840000.0
LN-01402,Multi-Family,251000.0,0.92,High (>85%),MD,2022-09-20,AP-95,261000.0
LN-01403,Single Family,876000.0,0.76,Medium (70-85%),PA,2020-08-29,AP-60,920000.0
LN-01404,Condo,655000.0,0.56,Low (<70%),NC,2022-10-28,AP-90,658000.0
LN-01405,Multi-Family,602000.0,0.64,Low (<70%),OH,2022-07-16,AP-88,629000.0
LN-01406,Townhouse,400000.0,0.87,High (>85%),MD,2021-07-28,AP-93,408000.0
LN-01407,Single Family,224000.0,0.94,High (>85%),MD,2019-07-10,AP-50,225000.0
LN-01408,Single Family,591000.0,0.57,Low (<70%),NY,2023-07-14,AP-21,582000.0
LN-01409,Single Family,129000.0,0.83,Medium (70-85%),CA,2022-03-10,AP-48,127000.0
LN-01410,Single Family,935000.0,0.96,High (>85%),NY,2022-07-06,AP-11,953000.0
LN-01411,Multi-Family,602000.0,0.96,High (>85%),OH,2023-08-18,AP-37,594000.0
LN-01412,Multi-Family,438000.0,0.64,Low (<70%),GA,2021-12-02,AP-11,431000.0
LN-01413,Condo,742000.0,0.6,Low (<70%),NV,2022-06-12,AP-39,743000.0
LN-01414,Multi-Family,419000.0,0.9,High (>85%),PA,2020-05-17,AP-69,430000.0
LN-01415,Single Family,1125000.0,0.79,Medium (70-85%),IL,2020-08-01,AP-95,1169000.0
LN-01416,Townhouse,656000.0,0.88,High (>85%),MA,2021-08-14,AP-57,660000.0
LN-01417,Multi-Family,230000.0,0.88,High (>85%),CA,2020-02-02,AP-76,233000.0
LN-01418,Multi-Family,340000.0,0.87,High (>85%),MI,2023-02-28,AP-16,354000.0
LN-01419,Condo,114000.0,0.88,High (>85%),NC,2018-07-30,AP-36,119000.0
LN-01420,Townhouse,804000.0,0.81,Medium (70-85%),MA,2021-02-20,AP-15,822000.0
LN-01421,Townhouse,952000.0,0.94,High (>85%),MD,2021-11-14,AP-34,951000.0
LN-01422,Townhouse,560000.0,0.78,Medium (70-85%),GA,2019-04-30,AP-28,585000.0
LN-01423,Townhouse,497000.0,0.77,Medium (70-85%),CA,2022-01-24,AP-53,498000.0
LN-01424,Condo,785000.0,0.91,High (>85%),MI,2023-04-20,AP-95,806000.0
LN-01425,Townhouse,1031000.0,0.68,Low (<70%),TX,2018-04-18,AP-84,1070000.0
LN-01426,Single Family,942000.0,0.85,Medium (70-85%),NJ,2021-10-07,AP-50,930000.0
LN-01427,Condo,417000.0,0.63,Low (<70%),AZ,2020-10-06,AP-40,427000.0
LN-01428,Single Family,269000.0,0.93,High (>85%),TX,2019-10-05,AP-99,282000.0
LN-01429,Condo,118000.0,0.72,Medium (70-85%),NV,2018-02-15,AP-72,119000.0
LN-01430,Townhouse,735000.0,0.69,Low (<70%),FL,2021-03-21,AP-41,751000.0
LN-01431,Multi-Family,265000.0,0.57,Low (<70%),AZ,2020-12-22,AP-15,258000.0
LN-01432,Single Family,282000.0,0.93,High (>85%),GA,2019-07-06,AP-35,278000.0
LN-01433,Single Family,217000.0,0.65,Low (<70%),IL,2018-03-09,AP-16,216000.0
LN-01434,Single Family,1000000.0,0.8,Medium (70-85%),PA,2017-11-17,AP-24,982000.0
LN-01435,Condo,414000.0,0.72,Medium (70-85%),MI,2019-12-28,AP-88,408000.0
LN-01436,Multi-Family,168000.0,0.91,High (>85%),GA,2020-03-16,AP-50,173000.0
LN-01437,Multi-Family,712000.0,0.93,High (>85%),NJ,2020-09-17,AP-79,700000.0
LN-01438,Multi-Family,755000.0,0.82,Medium (70-85%),CA,2021-03-16,AP-38,762000.0
LN-01439,Multi-Family,807000.0,0.74,Medium (70-85%),MD,2024-01-04,AP-40,820000.0
LN-01440,Condo,1216000.0,0.67,Low (<70%),NY,2022-07-26,AP-38,1239000.0
LN-01441,Multi-Family,649000.0,0.71,Medium (70-85%),PA,2019-02-04,AP-78,654000.0
LN-01442,Single Family,513000.0,0.93,High (>85%),TX,2023-04-14,AP-88,512000.0
LN-01443,Multi-Family,457000.0,0.56,Low (<70%),IL,2022-05-22,AP-37,450000.0
LN-01444,Single Family,1032000.0,0.72,Medium (70-85%),AZ,2020-09-05,AP-41,1015000.0
LN-01445,Townhouse,799000.0,0.94,High (>85%),PA,2022-05-30,AP-68,832000.0
LN-01446,Townhouse,270000.0,0.63,Low (<70%),CA,2021-08-07,AP-50,277000.0
LN-01447,Multi-Family,162000.0,0.95,High (>85%),GA,2021-09-17,AP-78,164000.0
LN-01448,Multi-Family,589000.0,0.64,Low (<70%),MA,2019-08-08,AP-55,572000.0
LN-01449,Townhouse,228000.0,0.93,High (>85%),FL,2022-06-20,AP-14,227000.0
LN-01450,Multi-Family,932000.0,0.75,Medium (70-85%),NC,2023-06-22,AP-28,942000.0
LN-01451,Multi-Family,119000.0,0.84,Medium (70-85%),PA,2020-07-25,AP-20,119000.0
LN-01452,Condo,261000.0,0.72,Medium (70-85%),AZ,2020-11-22,AP-25,269000.0
LN-01453,Townhouse,1007000.0,0.7,Low (<70%),NJ,2018-01-31,AP-63,1047000.0
LN-01454,Townhouse,310000.0,0.77,Medium (70-85%),TX,2021-05-09,AP-76,322000.0
LN-01455,Condo,518000.0,0.88,High (>85%),CA,2024-04-09,AP-59,516000.0
LN-01456,Condo,444000.0,0.93,High (>85%),TX,2020-12-19,AP-23,460000.0
LN-01457,Condo,836000.0,0.81,Medium (70-85%),FL,2023-12-10,AP-55,823000.0
LN-01458,Single Family,432000.0,0.94,High (>85%),NV,2021-11-30,AP-12,431000.0
LN-01459,Townhouse,1261000.0,0.59,Low (<70%),NV,2018-11-07,AP-55,1238000.0
LN-01460,Condo,233000.0,0.64,Low (<70%),FL,2023-03-07,AP-82,231000.0
LN-01461,Townhouse,486000.0,0.69,Low (<70%),IL,2019-06-11,AP-89,495000.0
LN-01462,Townhouse,296000.0,0.85,Medium (70-85%),NC,2023-05-22,AP-47,303000.0
LN-01463,Townhouse,972000.0,0.68,Low (<70%),MD,2018-09-08,AP-33,964000.0
LN-01464,Single Family,762000.0,0.92,High (>85%),IL,2019-02-28,AP-35,759000.0
LN-01465,Single Family,764000.0,0.56,Low (<70%),FL,2023-10-04,AP-45,767000.0
LN-01466,Multi-Family,624000.0,0.7,Low (<70%),MI,2020-10-21,AP-45,610000.0
LN-01467,Multi-Family,578000.0,0.88,High (>85%),MI,2022-01-29,AP-88,570000.0
LN-01468,Multi-Family,509000.0,0.69,Low (<70%),TX,2019-04-22,AP-45,533000.0
LN-01469,Multi-Family,248000.0,0.82,Medium (70-85%),PA,2017-11-17,AP-68,246000.0
LN-01470,Single Family,627000.0,0.56,Low (<70%),FL,2023-02-16,AP-48,624000.0
LN-01471,Condo,378000.0,0.96,High (>85%),TX,2019-12-10,AP-85,377000.0
LN-01472,Townhouse,1222000.0,0.58,Low (<70%),IL,2024-02-06,AP-64,1187000.0
LN-01473,Single Family,754000.0,0.9,High (>85%),NC,2020-10-14,AP-79,743000.0
LN-01474,Multi-Family,1124000.0,0.63,Low (<70%),TX,2020-12-14,AP-10,1134000.0
LN-01475,Condo,307000.0,0.88,High (>85%),AZ,2019-06-08,AP-83,319000.0
LN-01476,Single Family,1181000.0,0.69,Low (<70%),NJ,2023-08-19,AP-67,1236000.0
LN-01477,Single Family,527000.0,0.93,High (>85%),IL,2024-02-29,AP-81,534000.0
